premise,hypothesis,gpt_reply
Ciclistas não estão pedalando em fila pela montanha acima,Os ciclistas estão alinhados enquanto sobem a montanha.,"contradiction

**explanation:**

the premise states that cyclists are *not* riding in a line uphill. the hypothesis states that cyclists *are* aligned while going uphill. these two statements are directly opposing each other, therefore the premise contradicts the hypothesis.
"
"Alunos estão sentados em cadeiras vermelhas com material didático aberto, enquanto os instrutores permanecem de pé","Os alunos estão sentados em cadeiras vermelhas, aguardando o início da aula.","entailment
"
Um gato branco e cinza está sentado na areia,Um gato branco e cinza está brincando com uma bola de lã.,"neutral
"
O conjunto de jovens europeus está reunido ali,Um grupo de jovens da Europa está congregado no local.,"entailment
"
Um bolo retangular está coberto com ganache e decorado com raspas de chocolate preto na lateral e topo,O bolo retangular possui cobertura de ganache e decoração de raspas de chocolate preto,"entailment
"
As crianças ajudaram na limpeza do pátio da escola e os professores estão felizes por isso,As crianças não participaram da limpeza do pátio da escola.,"contradiction
"
Uma criança está deslizando pela areia dourada,A criança está deslizando no gelo,"contradiction
"
Uma mão é vista segurando uma pipa em direção a um arco-íris ao fundo,A pipa tem a forma de um pássaro.,"neutral
"
Não tem nenhuma mulher interferindo,Uma mulher está interferindo,"contradiction
"
"Centenas de bebês estão sem pais, conforme relatado em jornais antigos",Muitos bebês foram relatados como órfãos em jornais antigos,"entailment
"
A loja oferece semijoias banhadas em ouro com um ano de garantia,A loja vende também relógios banhados a ouro,"neutral
"
Uma modelo posa com a mão esquerda no rosto vestindo um macaquinho floral,A modelo não está posando para a foto,"neutral
"
"Duas mulheres, um homem e duas pequenas meninas estão reunidos ao ar livre de uma larga praça, diante de uma multidão de espectadores","Entre as pessoas reunidas na praça, há uma mulher com um vestido vermelho.","neutral
"
O senador está acompanhado de sua esposa,O senador e sua esposa estão vestidos formalmente,"neutral
"
Os homens e as mulheres estão sendo reunidos próximos às mesas ao livre,Todos estão se reunindo em um ambiente fechado.,"neutral

**explanation:**

the premise states that men and women are being gathered near outdoor tables. the hypothesis states that everyone is gathering in an enclosed environment. these two statements don't necessarily conflict with each other. people can gather near outdoor tables (open environment) while also being in an enclosed location (e.g., a covered patio, a building with outdoor seating). therefore, the premise is neither supporting nor refuting the hypothesis.
"
Uma criança está pintando usando a boca durante uma oficina,A criança não está pintando.,"contradiction
"
A mulher está alimentando um pássaro à beira de um lago,Há uma mulher perto de um lago cuidando de um pássaro.,"entailment
"
"O escritório possui uma vista para um jardim com árvores verdes, bromélias e uma fonte de água corrente",O escritório tem uma mesa de madeira robusta,"neutral
"
Um gato preto não está comendo ração do prato,O gato preto está comendo ração do prato.,"contradiction
"
Dois irmãos estão exibindo seus dentes manchados de vermelho e amarelo,Os irmãos estão segurando escovas de dentes,"neutral
"
A janela da sala de estar está fechada.,A cortina da sala de estar está balançando com a brisa.,"neutral
"
Um carro está de cabeça para baixo em meio ao caos,O carro está estacionado corretamente em um local tranquilo,"contradiction
"
"Um pai e sua filha, vestidos com máscaras e capas de heróis, estão olhando para o horizonte",Um homem e sua filha estão usando fantasias de super-heróis e olhando para o horizonte,"entailment
"
Duas meninas estão relaxando na areia à beira do mar,As meninas estão se exercitando na academia,"contradiction
"
Várias pessoas estão navegando em um caiaque,Ninguém está praticando esportes aquáticos.,"contradiction 

**explanation:**

the premise states that people are kayaking, which *is* a water sport. the hypothesis states that *no one* is practicing water sports. these statements are directly contradictory. therefore, the premise contradicts the hypothesis.
"
Uma mulher está picando alho,A mulher está descansando.,"neutral
"
Uma mulher está folheando um livro com várias outras obras empilhadas ao fundo,A mulher está ao lado de uma janela enquanto folheia um livro.,"neutral
"
Não tem nenhuma mulher bebendo café,Uma mulher está tomando café.,"contradiction
"
Uma menina está pulando enquanto joga tênis de praia com um instrutor,A menina está se divertindo enquanto joga tênis de praia.,"entailment
"
Um homem está segurando um peixe que ele possivelmente pescou em um rio,Um indivíduo está com um peixe em suas mãos que ele pode ter pescado em um rio.,"entailment
"
"Três adolescentes estão segurando seus celulares, com uma delas exibindo a tela da rede social",Adolescentes estão usando seus celulares,"entailment
"
"Várias pimentas de cores verdes, laranjas e vermelhas estão reunidas",As pimentas estão agrupadas por cores,"neutral
"
Não há nenhuma criança brincando no parquinho,O parquinho está vazio de crianças,"entailment
"
Um donut é recheado com brigadeiro e coberto com creme de baunilha,O donut não tem creme de baunilha na cobertura,"contradiction 

**explanation:**

the premise states the donut *is* covered with vanilla cream. the hypothesis states it *is not*. these are directly opposing statements, therefore the premise contradicts the hypothesis.
"
Os atletas estão manipulando a bola de vôlei,Os atletas estão jogando basquete,"neutral
"
Um viajante solitário com um chapéu vermelho está atravessando um deserto de areias douradas,Uma pessoa com chapéu vermelho está em um deserto.,"entailment
"
Um flyer anuncia o lançamento de vendas online de uma marca de roupas,A marca de roupas está encerrando suas atividades online.,"contradiction
"
Não há nenhuma mulher batendo uma panela sobre o fogão no quintal,Uma mulher está cozinhando no quintal usando uma panela no fogão,"contradiction
"
Nenhum garoto de bermuda está surfando nas ondas,Há um garoto de bermuda surfando nas ondas,"contradiction
"
Dois pacotes transparentes contendo casquinhas de brownie estão dispostos sobre uma bancada de madeira diante de uma parede preta,Casquinhas de brownie estão arrumadas em duas embalagens transparentes em uma bancada de madeira.,"entailment
"
A cada compra o cliente recebe dois cupons de desconto,O cliente não recebe nenhum cupom de desconto após a compra,"contradiction
"
"Atletas se preparam para uma corrida, alongando-se sob a orientação de uma instrutora",Os atletas estão em uma pista de corrida.,"neutral
"
"O caminhão de bombeiros, que é vermelho, está acelerando pela rua",O caminhão de bombeiros tem uma sirene barulhenta,"neutral
"
"Três braceletes de argolas nas cores dourada, prata e rosê estão no braço da mulher",A mulher não está usando nenhum bracelete.,"contradiction
"
A receita proposta promete promover uma super-hidratação para prolongar a vida dos fios de cabelo,A receita sugerida promete aumentar a longevidade dos fios de cabelo através de hidratação intensiva.,"entailment
"
Uma menina com características indígenas está sentada,A menina está em pé.,"neutral
"
"Um mini hambúrguer artesanal de carne bovina é servido espetado por um palito gourmet, acompanhado de tomate cereja e alface americana",O mini hambúrguer é servido com um molho especial,"neutral
"
Não há nenhum coelho saltando buracos,Diversos coelhos estão alegremente saltando buracos.,"contradiction
"
A vacinação está sendo realizada pelo sistema drive thru,As pessoas estão levando seus pets para vacinar no sistema drive thru,"neutral 

**explanation:**

the premise states that vaccinations are being done via drive-thru. the hypothesis suggests people are bringing their pets to be vaccinated via drive-thru. the premise doesn't mention anything about pets. therefore, we cannot conclude that the premise *entails* the hypothesis (it doesn't necessarily follow). nor does the premise *contradict* the hypothesis (it's not explicitly opposed). the relationship is neutral because the premise simply provides information about vaccinations, and the hypothesis introduces an additional element (pets) not mentioned in the premise.
"
A janela da sala de estar está fechada.,A televisão na sala de estar está ligada.,"neutral
"
"Um pacote de massa de pastel fresca, sem glúten e sem leite, está sobre uma mesa",A receita para a massa do pastel é antiga e foi passada de geração em geração.,"neutral
"
"A bebida é um milkshake, adornado com chantilly, uma cereja e dois tubetes",O milkshake é feito de chocolate,"neutral
"
Um polvo é visto no fundo do mar,Não há polvos no fundo do mar.,"contradiction
"
O homem está guardando o violão na estante,O homem tem um violão.,"entailment
"
Oito momentos de um jogo de boliche na capital foram compartilhados com colegas e seus familiares,Os colegas e familiares viram oito momentos de um jogo de boliche na capital,"entailment
"
Vários indivíduos se encontram em um campo de futebol para um torneio amador,Existe um torneio amador acontecendo em um campo de futebol,"entailment
"
Um empreendedor rural está transferindo grãos de uma mão para a outra,O empreendedor rural está usando botas de borracha.,"neutral
"
Uma mulher no palco está tocando fervorosamente seu violão,A mulher no palco está assistindo ao espetáculo.,"contradiction

**explanation:**

the premise states the woman is *playing* the guitar (""tocando fervorosamente"").  the hypothesis states she is *watching* the show (""assistindo ao espetáculo""). these are contradictory actions; you cannot simultaneously play a guitar and watch a show (as a performer). therefore, the premise contradicts the hypothesis.
"
Um gato está puxando a cortina e se pendurando nela,A cortina está sendo puxada por um gato,"entailment
"
Um pesquisador vestindo uma luva cirúrgica está segurando um tubo de ensaio e colhendo uma amostra de água,Um pesquisador vestindo uma luva cirúrgica está manuseando um tubo de ensaio e coletando uma amostra de água,"entailment
"
A escritora está procurando alguém para dispensar o editor do seu livro,A escritora está muito satisfeita com o trabalho do editor do seu livro,"contradiction 

**explanation:**

the premise states the writer is *seeking to dismiss* the editor. this directly implies dissatisfaction with the editor's work.  therefore, the hypothesis (writer is *very satisfied*) directly contradicts the premise.
"
O treinador e dois jogadores comemoram abraçados após marcarem o gol da vitória,O treinador e dois jogadores estão usando uniformes azuis,"neutral
"
Um gato branco e cinza está sentado na areia,Um felino está descansando na praia.,"entailment
"
A pizza não está sendo cortada pelo homem,O homem está cortando a pizza,"contradiction
"
Uma mulher está parada diante de um espelho,Uma mulher está parada diante de uma janela,"neutral
"
Uma guitarra está sendo dedilhada por um músico,Um músico está tocando piano,"neutral
"
Vários indivíduos se encontram em um campo de futebol para um torneio amador,A equipe vencedora do torneio amador vai ganhar um troféu.,"neutral
"
Uma criança vestida de camisa social está segurando um dado em sua mão direita,O garoto de camisa social tem um dado em sua mão direita,"entailment
"
Um homem está observando o trânsito em frente à sua residência,O homem está usando uma camiseta azul,"neutral
"
"Uma corrente e um pingente, ambos banhados a ouro, possuem pedras de zircônia incrustadas",A corrente e o pingente são de prata e não possuem pedras incrustadas,"contradiction
"
Um gato está se espreguiçando no sofá,O gato está no sofá se espreguiçando,"entailment
"
O cartaz informa sobre as operações atuais da polícia durante a pandemia do novo Coronavírus,As operações atuais da polícia durante a pandemia de COVID-19 são informadas através de um cartaz,"entailment
"
Uma modelo de perfil veste uma camisa branca transparente e carrega uma mochila preta,A modelo está posando para uma foto em uma passarela.,"neutral
"
As mães estão segurando filhos no colo e uma delas está grávida,Uma mãe grávida está segurando um filho no colo.,"contradiction

**explanation:**

the premise states that *one* of the mothers is pregnant and holding a child. the hypothesis states that *a* pregnant mother is holding a child.  the premise doesn't guarantee that *the* pregnant mother is the one holding the child. it's possible a non-pregnant mother is holding a child. therefore, the hypothesis is not necessarily true and thus contradicts the premise.
"
Uma cadela está se divertindo com folhas e demonstrando um comportamento travesso,"A cadela está dormindo tranquilamente, sem brincar com as folhas.","contradiction
"
Um gato branco está saltando entre os galhos de uma floresta sombria,O gato branco está com fome.,"neutral
"
O secretário de saúde do Estado está dando entrevista,O ministro da saúde do país está dando uma entrevista.,"neutral
"
Uma mulher possui um chip localizado atrás de sua orelha,A mulher tem medo de tecnologia.,"neutral
"
Uma gaivota está voando sobre as ondas do oceano,A gaivota está procurando alimento enquanto voa,"neutral
"
A mulher não está pintando uma tela de tecido,A mulher está pintando um quadro de tecido,"contradiction
"
Uma mulher está ralando o queijo com um utensílio,Existe queijo sendo ralado por uma mulher.,"entailment
"
Um lagarto está posicionado sobre um afloramento rochoso cercado por galhos secos,O lagarto está em uma floresta úmida e densa,"neutral
"
"Uma taça de milkshake é decorada com flocos, tubetes e chantilly",A taça de milkshake está vazia.,"contradiction
"
Uma mulher no palco está tocando fervorosamente seu violão,A mulher no palco é uma talentosa violonista.,"neutral
"
O deputado possui uma foto do dia de seu casamento em seu acervo pessoal,O deputado tem uma foto de sua formatura em seu acervo pessoal,"neutral
"
A mulher está alimentando um pássaro à beira de um lago,A mulher está usando um vestido azul.,"neutral
"
O perfume tem vidro de cor preta com tampa preta,O perfume tem um aroma doce.,"neutral
"
Uma mulher está usando um chapéu azul e sentada próxima a uma bicicleta rosa sobre a grama verde com o lago ao fundo,A mulher com um chapéu azul está sentada perto de uma bicicleta rosa no parque,"entailment
"
A fragrância com embalagem transparente e tampa dourada está posicionada sobre uma textura e folhas douradas,A fragrância é um presente de aniversário para alguém.,"neutral
"
Uma pequena garota está desenhando na praia com seu pai,A garota está desenhando um castelo na areia.,"neutral
"
Visitantes e pesquisadores estão presentes no sítio geológico,O sítio geológico está vazio.,"contradiction
"
Um homem de pele branca está aplicando creme no seus rosto,O homem está pensando em algo enquanto aplica o creme.,"neutral
"
Quatro potes de geléia de tomate estão dispostos na mesa da cozinha,Não há potes de geléia na mesa da cozinha,"contradiction
"
Uma mão é vista descartando uma garrafa de plástico em uma lixeira,Uma mão é vista retirando uma garrafa de plástico de uma lixeira,"contradiction 

**explanation:**

the premise describes a hand *discarding* a plastic bottle. the hypothesis describes a hand *retrieving* a plastic bottle. these actions are opposite of each other, therefore the premise contradicts the hypothesis.
"
Um ciclista sem colete reflexivo está parado em uma bicicleta vermelha ao lado da ciclovia,Um ciclista está usando um colete reflexivo enquanto pedala na ciclovia,"contradiction
"
"Utensílios de cozinha, incluindo tábuas, porta copos e taças, estão sobre a mesa",A mesa está vazia.,"contradiction
"
Ciclistas e ônibus estão navegando através do trânsito frenético na metrópole,O trânsito na metrópole é causado por obras na estrada.,"neutral
"
Um homem está temperando um bife,Um homem está cozinhando frango,"neutral
"
Na sala há um quadro com uma linda pintura,Não há nenhuma arte na sala,"contradiction
"
As informações essenciais estão escritas no manual,O manual é de fácil compreensão.,"neutral
"
Um sofá cinza adornado com almofadas está posicionado em uma sala,O sofá na sala é confortável.,"neutral
"
Uma mulher está caminhando sob a neve,A mulher está sentada quentinha em casa.,"contradiction
"
Um homem está em um consultório médico tendo sua pressão arterial medida pelo médico,Um homem está lendo um livro enquanto aguarda sua vez no consultório médico,"neutral
"
Uma praça central é conectada por cinco ruas e é cercada por vários prédios,A praça está lotada de pessoas hoje.,"neutral
"
Alunos estão nos corredores do colégio apresentando seus trabalhos de Ciências,Não há alunos apresentando trabalhos de Ciências no colégio,"contradiction
"
Um tênis preto tem pedrarias na biqueira,Há pedras decorativas na ponta de um tênis preto,"entailment
"
Uma mãe e seu filho estão sorrindo juntos para celebrar o aniversário do filho,A mãe e o filho estão tristes no aniversário do filho.,"contradiction
"
Uma nota pública foi escrita pelo político sobre o acidente sofrido,O político não comentou sobre o acidente,"contradiction
"
"A sala possui uma mesa decorada, uma planta, um puff e vários artigos decorativos",A sala tem uma janela grande com vista para o mar.,"neutral
"
"Uma pessoa de blusa verde estampada está sentada em frente a uma grande árvore, usando óculos escuros e segurando o cabelo",A pessoa está ao ar livre.,"entailment
"
Uma mulher está escalando uma cerca baixa,Uma mulher está em um parque com um caminho de pedras.,"neutral
"
Os indivíduos não estão de pé ao lado de uma loja de doces,As pessoas não estão ao lado de uma loja que vende doces,"entailment 

**explanation:**

the premise states that individuals are *not* standing next to a candy store. the hypothesis states that people are *not* next to a store that sells sweets.  a candy store *sells sweets*. therefore, if individuals aren't next to a candy store, they also aren't next to a store that sells sweets. the premise logically implies the hypothesis.
"
Três palhaças estão se apresentando no espetáculo,Existem palhaças que estão se apresentando em um espetáculo,"entailment
"
O homem não está misturando molho em uma tigela,O homem está misturando um molho em uma tigela,"contradiction
"
"Utensílios de cozinha, incluindo tábuas, porta copos e taças, estão sobre a mesa",A mesa é de madeira.,"neutral
"
"Vários idosos estão acomodados nos bancos do parque, contemplando o pôr do sol",Alguns jovens estão jogando bola no campo ao lado do parque,"neutral
"
Uma pesquisa revela que o maior fator de estresse no ambiente de trabalho é a descoberta de um erro cometido,A pesquisa indica que a principal fonte de estresse no trabalho é a sobrecarga de tarefas,"neutral
"
Um prédio de apartamentos tem 15 andares,Existem 15 andares em um prédio de apartamentos,"entailment
"
"Participantes estão sentados em cadeiras pretas em uma oficina, com o orientador e uma intérprete de Libras à frente",Os participantes estão em uma oficina tendo assistência de um intérprete de Libras.,"entailment
"
Um menino de camisa azul está correndo imprudentemente ao redor da piscina,O menino de camisa azul está sentado calmamente ao lado da piscina,"contradiction
"
Os filhos da pessoa estão aproveitando as férias brincando com amigos e comendo pipoca,Os filhos da pessoa estão estudando ao invés de aproveitar as férias,"contradiction
"
Um personagem do filme fez muito sucesso,O personagem do filme tem cabelos castanhos,"neutral
"
Não há nenhuma mulher loira com chapéu de palha em pé ao lado de um carrinho de sorvete,Uma mulher loira de chapéu de palha está vendendo sorvete,"contradiction

**explanation:**

the premise states that *no* blonde woman wearing a straw hat is standing next to an ice cream cart. the hypothesis states that such a woman *is* selling ice cream. these statements directly oppose each other. therefore, the premise contradicts the hypothesis.
"
"Uma cumbuca preta contém nhoque de batata doce com ragu de rabada, agrião e brotos por cima",A cumbuca preta está vazia,"contradiction
"
Um pesquisador vestindo uma luva cirúrgica está segurando um tubo de ensaio e colhendo uma amostra de água,Um pesquisador sem luvas está segurando um tubo de ensaio e colhendo uma amostra de sangue,"neutral
"
Os pés de uma modelo estão calçados com um sapato de verniz,A modelo tem um desfile de moda hoje.,"neutral
"
Eu e minha mãe tiramos uma selfie enquanto ela segurava um buquê de flores amarelas,Nenhuma foto foi tirada.,"contradiction
"
Um pedaço de pão está sendo comido tranquilamente por um pássaro,O pedaço de pão está intacto,"contradiction

**explanation:**

the premise states a bird is *eating* the piece of bread. eating implies that the bread is being broken down and consumed, meaning it is *not* intact. therefore, the hypothesis contradicts the premise.
"
Oito momentos de um jogo de boliche na capital foram compartilhados com colegas e seus familiares,Nenhum momento do jogo de boliche na capital foi compartilhado com colegas e familiares,"contradiction
"
Uma mão está segurando uma arma,Alguém está em posse de uma arma.,"entailment
"
Uma escultura de um veado sendo atacado por outros animais é cercada por muitas árvores,A escultura é feita de mármore.,"neutral
"
Uma menina sorridente está vestida com um vestido preto floral e um casaco cor-de-rosa de tecido de pelo,A menina está usando um casaco cor-de-rosa,"entailment
"
O cachorro está correndo atrás da bola no parque,O cachorro está dormindo no parque,"contradiction
"
O ministro da saúde é mostrado,O ministro da saúde está se escondendo,"neutral
"
Um potinho com sorvete de laranja está sendo degustado pela senhora,A senhora está saboreando um sorvete de laranja.,"entailment
"
Não tem nenhum gato arranhando um sofá,Um gato está arranhando um sofá,"contradiction
"
Uma garota nadando resgata o filhote assustado no meio do lago,O filhote está sendo salvo por uma menina que está nadando.,"entailment
"
Um homem negro está aplicando colírio nos olhos,Um homem negro está usando um chapéu.,"neutral
"
Uma pantera está se movendo silenciosamente,A pantera está fazendo muito barulho,"contradiction
"
Um atleta de badminton se reúne com três amigos,Quatro pessoas estão juntas.,"contradiction

**explanation:**

the premise states there are *four* people (the athlete and three friends) present. the hypothesis states there are *four* people. therefore, the premise *supports* the hypothesis, but the wording ""estão juntas"" (are together) doesn't inherently contradict the premise. however, a more direct reading of the premise ""um atleta de badminton se reúne com três amigos"" suggests the *only* people present are the athlete and the three friends. so, the hypothesis, stating *four* people are together, is contradicted because the premise specifically mentions only three friends, leading to a total of four people. the premise does *not* entail the hypothesis because the premise doesn't *guarantee* there are four people. it simply states four people *are* together, but doesn't say that's the *only* possibility.
"
Uma chaminé de fábrica está emitindo resíduos,A chaminé da fábrica está limpa e sem emissões,"contradiction
"
Um mix de brincos e piercings banhados a ouro estão cravejados com pedras de zircônias,Os brincos e piercings estão enfeitados com zircônias.,"entailment
"
"Um salão está cheio de pessoas, algumas sentadas e outras de pé",Há pessoas sentadas e em pé no salão,"entailment
"
O gato está comendo ração de um prato,O gato não está comendo nada.,"contradiction
"
Uma taça contendo um drink de morango está posicionada sobre uma mesa preta de madeira,A taça com o drink de morango está no chão.,"contradiction
"
Um prato branco redondo tem sorvete de canela servido sobre uma tarte de maçã envolta por caramelo,O sorvete de canela é a sobremesa favorita de alguém,"neutral
"
Os pais estão observando suas trigêmeas recém-nascidas,Os pais estão discutindo quem vai trocar as fraldas das recém-nascidas,"neutral
"
A escritora está procurando alguém para dispensar o editor do seu livro,A escritora está em busca de uma pessoa para substituir o editor de seu livro,"entailment
"
Uma mulher está rasgando um casaco com uma tesoura,A mulher está usando uma tesoura para cortar papel,"neutral
"
"Uma mulher negra, com uma expressão séria, está encostada em um objeto vermelho","Uma mulher negra, com uma expressão séria, está encostada em um objeto azul","neutral
"
Uma borboleta azul com asas brilhantes repousa sobre a flor vermelha,Uma borboleta de cor azul está sobre uma flor vermelha,"entailment
"
Uma orquídea roxa está em um vaso claro,O vaso claro com a orquídea roxa está na janela da cozinha,"neutral
"
"Alunas de balé, mães e professora prestam homenagem ao Outubro Rosa",As alunas de balé estão vestindo sapatilhas pink.,"neutral

**explanation:**

the premise states that ballet students, mothers, and the teacher are paying tribute to breast cancer awareness month (outubro rosa). this doesn't *necessarily* mean the ballet students are wearing pink shoes. they could be wearing pink ribbons, holding signs, or doing something else entirely.  the premise is about the *tribute*, not the specific attire of the students. therefore, we cannot definitively say the premise entails or contradicts the hypothesis.
"
Uma ave cinzenta está se aproximando de um gato branco na floresta de pinheiros,Uma ave de cor cinza está perto de um gato branco na floresta de pinheiros,"entailment
"
Duas crianças estão se divertindo juntas no parquinho,As crianças estão sozinhas em casa.,"contradiction
"
Pacotes de bombons de chocolate com banana e chocolate com amendoim sem açúcar estão dispostos sobre uma mesa,Bombons de chocolate com banana e amendoim sem açúcar estão disponíveis na mesa.,"entailment 

**explanation:**

the premise states that chocolate-banana and chocolate-peanut (no sugar) candies *are* on the table. the hypothesis states that these candies *are available* on the table.  being *on* the table implies being *available* on the table. therefore, the premise entails the hypothesis.
"
Um escorredor de louça de dois andares com vários compartimentos está localizado acima das pias,O escorredor de louça está na sala de jantar.,"neutral
"
"Vários idosos estão acomodados nos bancos do parque, contemplando o pôr do sol",Não há idosos sentados nos bancos do parque,"contradiction
"
"Eu e minha noiva tiramos uma selfie durante nosso casamento, junto com fotos de família",As fotos do casamento não incluem a noiva e o noivo.,"contradiction 

**explanation:**

the premise states that the speaker and their bride *did* take a selfie *during* their wedding, *along with* family photos. this directly contradicts the hypothesis that the wedding photos *do not* include the bride and groom.
"
A loja oferece semijoias banhadas em ouro com um ano de garantia,As semijoias vendidas na loja são banhadas a ouro e têm garantia de um ano,"entailment
"
Não há nenhuma mulher batendo uma panela sobre o fogão no quintal,Existem pessoas no quintal jogando bola,"neutral
"
Uma mulher está parada diante de um espelho,Uma mulher não está parada diante de um espelho,"contradiction
"
A loja anuncia a possibilidade de encomendar brigadeiros,A loja tem uma grande variedade de doces.,"neutral
"
Uma animação mostra um jornal emergindo de um celular branco segurado na mão,A animação não mostra nenhum celular,"contradiction
"
Um empreendedor sorridente está segurando um tablet,O empreendedor está com as mãos vazias.,"contradiction

**explanation:**

the premise states the entrepreneur is *holding* a tablet. holding something implies that their hands are *not* empty. therefore, the hypothesis that the entrepreneur has empty hands contradicts the premise.
"
Um garoto está pintando o quadro,O quadro está sendo pintado.,"entailment 
"
Um polvo é visto no fundo do mar,O polvo está caçando sua presa.,"neutral
"
Um bolo redondo é coberto com chantilly espatulado branco e decorado com rosas e rosetas na lateral e em cima,O bolo redondo tem decoração de rosas e rosetas,"entailment
"
O texto celebra o Dia das Mulheres,O texto menciona o Dia dos Homens,"neutral
"
As informações essenciais estão escritas no manual,As informações cruciais não estão no manual.,"contradiction
"
Nenhum pássaro está voando sob a chuva,Há pássaros voando apesar da chuva,"contradiction
"
No jantar serviremos batatas salpicadas e um prato de anéis de cebola empanados,Haverá batatas e anéis de cebola para comer no jantar.,"entailment
"
Panquecas estão servidas em um prato branco com detalhes de bolinhas verdes,Panquecas estão servidas em um prato azul,"contradiction
"
Não tem nenhum homem assando um peixe,Um peixe não está sendo assado por um homem,"entailment 

**explanation:**

the premise states that there is no man baking a fish. the hypothesis states that a fish is not being baked by a man.  if no man is baking a fish, then it logically follows that a fish is not being baked by a man.  therefore, the premise entails the hypothesis.
"
Uma raposa vermelha está saltando por um bosque de árvores altas,A raposa vermelha está em um bosque com árvores de grande porte.,"entailment
"
A mulher está alimentando um pássaro à beira de um lago,A mulher está alimentando um peixe à beira do lago.,"neutral
"
As dicas de arte estão sendo apresentadas em sequência,As dicas de arte são úteis para iniciantes,"neutral
"
Policiais prendem o motorista no local onde a carreta foi parada,O motorista não foi detido.,"contradiction
"
Uma mulher está correndo acompanhada de um personal trainer,A mulher está correndo na esteira da academia,"neutral
"
As crianças adoram brinquedos populares,Os brinquedos populares são muitas vezes desejados pelas crianças,"entailment
"
Dois homens estão segurando uma caixa branca cheia de alimentos,Uma caixa branca cheia de alimentos está sendo segurada por dois homens,"entailment
"
Não há nenhuma mulher bebendo água,Uma mulher está bebendo água.,"contradiction
"
Uma mãe recebe carinho de seus dois filhos,Dois filhos estão demonstrando carinho à sua mãe,"entailment
"
A equipe brasileira está reunida em círculo na quadra com os braços erguidos,A equipe brasileira está com os braços erguidos em círculo na quadra,"entailment
"
Um donut é recheado com brigadeiro e coberto com creme de baunilha,O donut tem brigadeiro dentro dele,"entailment
"
Um estudo afirma que a preguiça pode ser benéfica para a saúde,A preguiça é um comportamento comum em muitos animais.,"neutral
"
Um homem está acariciando um guaxinim,Um guaxinim está sendo acariciado por um homem,"entailment
"
Uma árvore rosa floresce em uma rua residencial com uma casa de sobrado e dois carros pratas estacionados,Uma árvore rosa está em flor em uma rua residencial,"entailment
"
"A sala possui uma mesa decorada, uma planta, um puff e vários artigos decorativos",Há um puff na sala.,"entailment
"
Um gato com pelagem branca e laço azul está deitado no sofá,O gato está com fome.,"neutral
"
A garotinha está usando um vestido azul e está sorrindo,A garotinha tem um gato como animal de estimação,"neutral
"
Um par de tênis preto infantil é visto de cima para baixo,Um par de sapatos para crianças de cor preta está sendo visualizado a partir de um ponto de vista superior.,"entailment
"
O homem está apoiado em um muro e está vestindo uma camiseta branca e jeans azul,O homem está vestindo um terno e gravata.,"contradiction
"
A mulher está calmamente lendo um livro debaixo de um pinheiro,O pinheiro está cheio de pinhas.,"neutral
"
Uma parede branca é iluminada e decorada com três painéis de MDF preto formando uma árvore,A sala tem um sofá vermelho,"neutral
"
Uma garotinha está tampando o rosto com a mão,A garotinha tem a mão no rosto.,"entailment
"
Duas meninas estão fazendo a lição de casa,As meninas têm lápis rosa,"neutral
"
Um prato de comida pode espalhar sorrisos ao longo do dia,Um prato de comida pode melhorar o humor das pessoas durante o dia,"entailment
"
O homem está apoiado em um muro e está vestindo uma camiseta branca e jeans azul,O homem está ouvindo música.,"neutral
"
Duas mulheres com patins estão à beira de um lago congelado,Existem peixes dentro do lago congelado,"neutral
"
Uma mulher está abotoando um casaco,Um casaco está sendo abotoado por uma mulher.,"entailment
"
O cachorro está correndo atrás do gato no jardim,Há um jardim com diversas espécies de flores.,"neutral
"
Uma mulher está picando alho,A mulher está usando uma faca afiada.,"neutral
"
Um capelo e um diploma são representados em um desenho,O desenho é feito a lápis.,"neutral
"
Um homem está descascando uma batata amarela,Uma batata amarela está sendo descascada por um homem,"entailment
"
Os jogadores de futebol não estão em campo e não estão vestindo suas camisas verde e amarelas,Os jogadores de futebol não estão vestindo verde e amarelo,"entailment 

**explanation:**

if the premise states that the players are not on the field *and* are not wearing green and yellow shirts, it logically follows that they are not wearing green and yellow. the premise provides information that *guarantees* the truth of the hypothesis.
"
"Um trem está cheio de pessoas, tanto sentadas quanto em pé, todas usando máscaras faciais",As pessoas no trem estão usando máscaras faciais.,"entailment
"
O plenário da assembleia está em exibição,O plenário da assembleia está localizado em um prédio histórico.,"neutral
"
Um lagarto está posicionado sobre um afloramento rochoso cercado por galhos secos,O lagarto é verde e amarelo,"neutral
"
Dois homens estão segurando uma caixa branca cheia de alimentos,Dois homens estão vestidos com uniformes de trabalhadores de supermercado,"neutral
"
O bebê veste um macacão com estampa de pequenas folhinhas,O bebê tem um brinquedo de pelúcia.,"neutral
"
Uma garotinha está usando um vestido amarelo e está brincando no parquinho,A menina gosta de sorvete de baunilha,"neutral
"
Um pequeno garoto oriental está sentado além do grupo e está se divertindo com um pião,Um pequeno garoto oriental está comendo um picolé,"neutral
"
O robô está convidando para uma demonstração do dispositivo no próximo sábado,O robô é uma máquina avançada com habilidades extraordinárias.,"neutral
"
Um menino vestindo uma blusa regata azul está observando uma foto,O menino com uma blusa regata azul está pensando em seu dia.,"neutral
"
